PLAYER_NAME,Total_Points,Games_Played,Average_Points
A.J. Green,103,21,4.904761904761905
A.J. Lawson,32,11,2.909090909090909
AJ Griffin,279,39,7.153846153846154
Aaron Gordon,576,37,15.567567567567568
Aaron Holiday,76,29,2.6206896551724137
Aaron Nesmith,411,39,10.538461538461538
Aaron Wiggins,287,41,7.0
Admiral Schofield,20,10,2.0
Al Horford,342,35,9.771428571428572
Alec Burks,288,25,11.52
Aleksej Pokusevski,3,3,1.0
Alex Caruso,193,33,5.848484848484849
Alex Len,23,15,1.5333333333333334
Alperen Sengun,625,41,15.24390243902439
Amir Coffey,62,20,3.1
Andre Drummond,210,37,5.675675675675675
Andre Iguodala,17,8,2.125
Andrew Nembhard,417,41,10.170731707317072
Andrew Wiggins,213,15,14.2
Anfernee Simons,567,29,19.551724137931036
Anthony Davis,719,28,25.678571428571427
Anthony Edwards,1004,40,25.1
Anthony Gill,103,28,3.6785714285714284
Anthony Lamb,238,31,7.67741935483871
Austin Reaves,417,27,15.444444444444445
Austin Rivers,111,25,4.44
Ayo Dosunmu,335,44,7.613636363636363
Bam Adebayo,810,40,20.25
Ben Simmons,81,16,5.0625
Bennedict Mathurin,616,39,15.794871794871796
Bismack Biyombo,146,29,5.0344827586206895
Blake Griffin,83,24,3.4583333333333335
Blake Wesley,142,32,4.4375
Boban Marjanovic,55,17,3.235294117647059
Bobby Portis,478,34,14.058823529411764
Bogdan Bogdanovic,521,40,13.025
Bojan Bogdanovic,481,21,22.904761904761905
Bol Bol,162,30,5.4
Bones Hyland,272,26,10.461538461538462
Bradley Beal,619,27,22.925925925925927
Brandon Boston,74,8,9.25
Brandon Clarke,204,21,9.714285714285714
Brandon Ingram,718,28,25.642857142857142
Brook Lopez,724,44,16.454545454545453
Bruce Brown,502,44,11.409090909090908
Bruno Fernando,60,18,3.3333333333333335
Bryce McGowens,155,31,5.0
Bryn Forbes,22,4,5.5
Buddy Boeheim,16,7,2.2857142857142856
Buddy Hield,642,41,15.658536585365853
CJ McCollum,868,41,21.170731707317074
Caleb Houstan,56,23,2.4347826086956523
Caleb Martin,321,36,8.916666666666666
Cam Reddish,219,20,10.95
Cam Thomas,394,30,13.133333333333333
Cameron Johnson,526,33,15.93939393939394
Cameron Payne,148,20,7.4
Caris LeVert,495,41,12.073170731707316
Carlik Jones,3,4,0.75
Cedi Osman,311,40,7.775
Charles Bassey,87,12,7.25
Chimezie Metu,172,39,4.410256410256411
Chris Boucher,378,43,8.790697674418604
Chris Duarte,251,30,8.366666666666667
Chris Paul,495,35,14.142857142857142
Chris Silva,2,1,2.0
Christian Braun,206,41,5.024390243902439
Christian Koloko,44,22,2.0
Christian Wood,500,33,15.151515151515152
Chuma Okeke,9,6,1.5
Clint Capela,443,37,11.972972972972974
Coby White,463,44,10.522727272727273
Cody Martin,35,6,5.833333333333333
Cody Zeller,75,13,5.769230769230769
Cole Anthony,522,40,13.05
Cole Swider,9,5,1.8
Collin Sexton,233,16,14.5625
Corey Kispert,509,43,11.837209302325581
Cory Joseph,258,28,9.214285714285714
D'Angelo Russell,612,33,18.545454545454547
Daishen Nix,111,25,4.44
Dalano Banton,6,7,0.8571428571428571
Dalen Terry,52,21,2.4761904761904763
Damian Jones,69,20,3.45
Damian Lillard,1227,35,35.05714285714286
Damion Lee,275,35,7.857142857142857
Daniel Gafford,409,40,10.225
Daniel Theis,49,7,7.0
Danny Green,27,9,3.0
Danuel House Jr.,88,24,3.6666666666666665
Dario Saric,278,37,7.513513513513513
Darius Bazley,68,17,4.0
Darius Days,15,4,3.75
Darius Garland,849,39,21.76923076923077
David Duke Jr.,24,6,4.0
David Roddy,235,35,6.714285714285714
Davion Mitchell,233,46,5.065217391304348
Davis Bertans,93,25,3.72
Davon Reed,30,19,1.5789473684210527
Day'Ron Sharpe,148,27,5.481481481481482
De'Aaron Fox,1061,41,25.878048780487806
De'Andre Hunter,582,37,15.72972972972973
De'Anthony Melton,393,44,8.931818181818182
DeAndre Jordan,53,10,5.3
DeMar DeRozan,849,37,22.945945945945947
Dean Wade,82,25,3.28
Deandre Ayton,604,33,18.303030303030305
Dejounte Murray,855,42,20.357142857142858
Delon Wright,317,41,7.7317073170731705
Deni Avdija,409,41,9.975609756097562
Dennis Schroder,595,43,13.837209302325581
Dennis Smith Jr.,334,39,8.564102564102564
Deonte Burton,0,2,0.0
Dereon Seabron,4,3,1.3333333333333333
Derrick Jones Jr.,169,37,4.5675675675675675
Derrick Rose,0,1,0.0
Derrick White,643,44,14.613636363636363
Desmond Bane,843,40,21.075
Devin Booker,670,23,29.130434782608695
Devin Vassell,154,10,15.4
Devonte' Graham,348,37,9.405405405405405
Dewayne Dedmon,16,10,1.6
Dillon Brooks,469,40,11.725
Domantas Sabonis,870,45,19.333333333333332
Dominick Barlow,70,21,3.3333333333333335
Donovan Mitchell,997,35,28.485714285714284
Donte DiVincenzo,455,43,10.581395348837209
Dorian Finney-Smith,286,34,8.411764705882353
Doug McDermott,330,33,10.0
Draymond Green,339,38,8.921052631578947
Drew Eubanks,301,44,6.840909090909091
Dru Smith,31,7,4.428571428571429
Duane Washington Jr.,104,11,9.454545454545455
Duncan Robinson,44,12,3.6666666666666665
Dwight Powell,316,43,7.348837209302325
Dylan Windler,5,3,1.6666666666666667
Dyson Daniels,100,31,3.225806451612903
Edmond Sumner,157,21,7.476190476190476
Eric Gordon,499,36,13.86111111111111
Eugene Omoruyi,189,23,8.217391304347826
Evan Fournier,48,10,4.8
Evan Mobley,748,42,17.80952380952381
Frank Jackson,0,1,0.0
Frank Kaminsky,32,18,1.7777777777777777
Frank Ntilikina,63,27,2.3333333333333335
Franz Wagner,727,41,17.73170731707317
Fred VanVleet,801,40,20.025
Furkan Korkmaz,36,14,2.5714285714285716
Gabe Vincent,429,42,10.214285714285714
Gabe York,9,1,9.0
Garrett Temple,21,13,1.6153846153846154
Garrison Mathews,102,23,4.434782608695652
Gary Harris,310,39,7.948717948717949
Gary Payton II,87,20,4.35
Gary Trent Jr.,610,35,17.428571428571427
George Hill,55,14,3.9285714285714284
Georges Niang,300,43,6.976744186046512
Giannis Antetokounmpo,997,33,30.21212121212121
Goga Bitadze,82,18,4.555555555555555
Goran Dragic,74,23,3.217391304347826
Gordon Hayward,454,30,15.133333333333333
Gorgui Dieng,52,17,3.0588235294117645
Grant Williams,318,42,7.571428571428571
Grayson Allen,424,40,10.6
Greg Brown III,9,6,1.5
Hamidou Diallo,313,25,12.52
Harrison Barnes,727,46,15.804347826086957
Haywood Highsmith,102,25,4.08
Herbert Jones,370,40,9.25
Immanuel Quickley,719,42,17.11904761904762
Isaac Okoro,303,39,7.769230769230769
Isaiah Hartenstein,195,43,4.534883720930233
Isaiah Jackson,237,32,7.40625
Isaiah Joe,494,43,11.488372093023257
Isaiah Livers,218,30,7.266666666666667
Isaiah Mobley,2,2,1.0
Isaiah Roby,60,14,4.285714285714286
Isaiah Stewart,194,18,10.777777777777779
Ish Smith,50,25,2.0
Ish Wainright,172,37,4.648648648648648
Ivica Zubac,410,37,11.08108108108108
JD Davison,9,7,1.2857142857142858
JT Thor,190,43,4.4186046511627906
Ja Morant,775,30,25.833333333333332
JaMychal Green,201,28,7.178571428571429
JaVale McGee,76,17,4.470588235294118
Jabari Smith Jr.,553,42,13.166666666666666
Jabari Walker,159,34,4.676470588235294
Jack White,17,8,2.125
Jaden Hardy,341,34,10.029411764705882
Jaden Ivey,627,37,16.945945945945947
Jaden McDaniels,557,43,12.953488372093023
Jaden Springer,16,9,1.7777777777777777
Jae Crowder,87,16,5.4375
Jae'Sean Tate,258,28,9.214285714285714
Jake LaRavia,20,13,1.5384615384615385
Jakob Poeltl,543,42,12.928571428571429
Jalen Brunson,946,34,27.823529411764707
Jalen Duren,333,29,11.482758620689655
Jalen Green,870,38,22.894736842105264
Jalen Johnson,190,34,5.588235294117647
Jalen McDaniels,320,40,8.0
Jalen Smith,281,32,8.78125
Jalen Suggs,314,36,8.722222222222221
Jalen Williams,682,42,16.238095238095237
Jamal Cain,26,5,5.2
Jamal Murray,751,35,21.457142857142856
Jamaree Bouyea,15,5,3.0
James Bouknight,62,8,7.75
James Harden,764,37,20.64864864864865
James Johnson,24,7,3.4285714285714284
James Wiseman,305,24,12.708333333333334
Jared Butler,12,4,3.0
Jared Rhoden,28,12,2.3333333333333335
Jaren Jackson Jr.,812,43,18.88372093023256
Jarred Vanderbilt,295,38,7.7631578947368425
Jarrell Brantley,22,4,5.5
Jarrett Allen,552,37,14.91891891891892
Jason Preston,27,8,3.375
Javonte Green,0,3,0.0
Jaxson Hayes,162,31,5.225806451612903
Jay Huff,34,6,5.666666666666667
Jay Scrubb,2,1,2.0
Jaylen Brown,854,33,25.87878787878788
Jaylen Nowell,280,28,10.0
Jaylin Williams,255,39,6.538461538461538
Jayson Tatum,1149,39,29.46153846153846
Jeenathan Williams,11,2,5.5
Jeff Dowtin,33,14,2.357142857142857
Jeff Green,241,30,8.033333333333333
Jerami Grant,564,30,18.8
Jeremiah Robinson-Earl,61,15,4.066666666666666
Jeremy Sochan,343,26,13.192307692307692
Jericho Sims,64,22,2.909090909090909
Jevon Carter,363,44,8.25
Jimmy Butler,941,40,23.525
Jock Landale,216,35,6.171428571428572
Joe Harris,309,44,7.0227272727272725
Joe Ingles,276,39,7.076923076923077
Joe Wieskamp,9,7,1.2857142857142858
Joel Embiid,1266,38,33.31578947368421
John Collins,549,42,13.071428571428571
John Konchar,101,37,2.72972972972973
John Wall,46,5,9.2
Johnny Davis,116,16,7.25
Johnny Juzang,70,15,4.666666666666667
Jonas Valanciunas,608,41,14.829268292682928
Jonathan Isaac,55,11,5.0
Jonathan Kuminga,387,32,12.09375
Jordan Clarkson,492,23,21.391304347826086
Jordan Goodwin,173,32,5.40625
Jordan McLaughlin,78,23,3.391304347826087
Jordan Nwora,344,34,10.117647058823529
Jordan Poole,894,43,20.790697674418606
Jose Alvarado,236,26,9.076923076923077
Josh Christopher,300,41,7.317073170731708
Josh Giddey,780,44,17.727272727272727
Josh Green,364,35,10.4
Josh Hart,396,41,9.658536585365853
Josh Minott,36,8,4.5
Josh Okogie,353,37,9.54054054054054
Josh Richardson,379,37,10.243243243243244
Jrue Holiday,790,41,19.26829268292683
Juan Toscano-Anderson,102,33,3.090909090909091
Juancho Hernangomez,21,17,1.2352941176470589
Julian Champagnie,101,12,8.416666666666666
Julius Randle,1046,40,26.15
Justin Holiday,68,18,3.7777777777777777
Justin Jackson,11,9,1.2222222222222223
Jusuf Nurkic,251,22,11.409090909090908
KZ Okpala,9,12,0.75
Kai Jones,82,21,3.9047619047619047
Karl-Anthony Towns,114,6,19.0
Kawhi Leonard,885,33,26.818181818181817
Keegan Murray,573,46,12.456521739130435
Keita Bates-Diop,372,36,10.333333333333334
Keldon Johnson,675,30,22.5
Kelly Olynyk,366,31,11.806451612903226
Kelly Oubre Jr.,266,13,20.46153846153846
Kemba Walker,4,2,2.0
Kendrick Nunn,324,40,8.1
Kennedy Chandler,28,19,1.4736842105263157
Kenneth Lofton Jr.,60,17,3.5294117647058822
Kenrich Williams,229,25,9.16
Kentavious Caldwell-Pope,407,41,9.926829268292684
Kenyon Martin Jr.,634,44,14.409090909090908
Keon Ellis,22,11,2.0
Keon Johnson,96,25,3.84
Kessler Edwards,79,21,3.761904761904762
Kevin Durant,298,11,27.09090909090909
Kevin Huerter,600,41,14.634146341463415
Kevin Knox II,174,29,6.0
Kevin Love,218,31,7.032258064516129
Kevin Porter Jr.,426,23,18.52173913043478
Kevon Harris,4,5,0.8
Kevon Looney,329,43,7.651162790697675
Khris Middleton,419,26,16.115384615384617
Killian Hayes,395,37,10.675675675675675
Kira Lewis Jr.,103,23,4.478260869565218
Klay Thompson,906,38,23.842105263157894
Kobi Simmons,5,3,1.6666666666666667
Kris Dunn,223,19,11.736842105263158
Kristaps Porzingis,773,32,24.15625
Kyle Anderson,431,40,10.775
Kyle Kuzma,577,28,20.607142857142858
Kyle Lowry,164,21,7.809523809523809
Kyrie Irving,915,34,26.91176470588235
LaMelo Ball,530,23,23.043478260869566
Lamar Stevens,174,39,4.461538461538462
Landry Shamet,88,12,7.333333333333333
Larry Nance Jr.,179,34,5.264705882352941
Lauri Markkanen,836,30,27.866666666666667
LeBron James,734,25,29.36
Leandro Bolmaro,0,4,0.0
Lester Quinones,1,2,0.5
Lindell Wigginton,8,5,1.6
Lindy Waters III,158,28,5.642857142857143
Lonnie Walker IV,182,23,7.913043478260869
Luguentz Dort,523,38,13.763157894736842
Luka Doncic,941,31,30.35483870967742
Luka Garza,146,19,7.684210526315789
Luka Samanic,29,4,7.25
Luke Kennard,300,32,9.375
Luke Kornet,128,37,3.4594594594594597
Malachi Flynn,63,27,2.3333333333333335
Malaki Branham,487,41,11.878048780487806
Malcolm Brogdon,588,37,15.891891891891891
Malcolm Hill,5,2,2.5
Malik Beasley,432,39,11.076923076923077
Malik Monk,532,42,12.666666666666666
Mamadi Diakite,11,8,1.375
MarJon Beauchamp,98,25,3.92
Marcus Morris Sr.,259,30,8.633333333333333
Marcus Smart,336,29,11.586206896551724
Mark Williams,302,34,8.882352941176471
Markelle Fultz,642,42,15.285714285714286
Markieff Morris,30,14,2.142857142857143
Marko Simonovic,2,4,0.5
Marvin Bagley III,217,16,13.5625
Mason Plumlee,444,39,11.384615384615385
Matisse Thybulle,218,40,5.45
Matt Ryan,54,12,4.5
Matthew Dellavedova,29,18,1.6111111111111112
Max Christie,71,20,3.55
Max Strus,441,42,10.5
Maxi Kleber,80,15,5.333333333333333
McKinley Wright IV,74,18,4.111111111111111
Meyers Leonard,24,7,3.4285714285714284
Mfiondu Kabengele,0,1,0.0
Micah Potter,10,2,5.0
Michael Carter-Williams,1,1,1.0
Michael Porter Jr.,718,40,17.95
Mikal Bridges,1061,44,24.113636363636363
Mike Conley,485,37,13.108108108108109
Mike Muscala,189,35,5.4
Miles McBride,112,37,3.027027027027027
Mitchell Robinson,205,29,7.068965517241379
Mo Bamba,79,17,4.647058823529412
Monte Morris,319,30,10.633333333333333
Montrezl Harrell,133,23,5.782608695652174
Moritz Wagner,367,38,9.657894736842104
Moses Brown,62,10,6.2
Moses Moody,105,29,3.6206896551724137
Moussa Diabate,24,13,1.8461538461538463
Myles Turner,595,31,19.193548387096776
Naji Marshall,388,41,9.463414634146341
Nassir Little,243,33,7.363636363636363
Nathan Knight,92,19,4.842105263157895
Naz Reid,453,37,12.243243243243244
Nerlens Noel,23,10,2.3
Nic Claxton,545,42,12.976190476190476
Nick Richards,217,29,7.482758620689655
Nickeil Alexander-Walker,166,31,5.354838709677419
Nicolas Batum,231,38,6.078947368421052
Nikola Jokic,867,36,24.083333333333332
Nikola Vucevic,822,44,18.681818181818183
Noah Vonleh,0,2,0.0
Norman Powell,513,29,17.689655172413794
O.G. Anunoby,520,34,15.294117647058824
Obi Toppin,261,40,6.525
Ochai Agbaji,375,40,9.375
Olivier Sarr,14,7,2.0
Omer Yurtseven,12,6,2.0
Onyeka Okongwu,452,43,10.511627906976743
Orlando Robinson,56,19,2.9473684210526314
Oshae Brissett,187,31,6.032258064516129
Ousmane Dieng,110,23,4.782608695652174
P.J. Dozier,11,14,0.7857142857142857
P.J. Tucker,146,40,3.65
P.J. Washington,603,37,16.2972972972973
Paolo Banchero,810,42,19.285714285714285
Pascal Siakam,1010,44,22.954545454545453
Pat Connaughton,338,42,8.047619047619047
Patrick Baldwin Jr.,66,19,3.473684210526316
Patrick Beverley,231,37,6.243243243243243
Patrick Williams,468,44,10.636363636363637
Patty Mills,94,15,6.266666666666667
Paul George,648,28,23.142857142857142
Paul Reed,176,36,4.888888888888889
Payton Pritchard,126,24,5.25
Peyton Watson,47,14,3.357142857142857
Precious Achiuwa,373,41,9.097560975609756
Quentin Grimes,487,43,11.325581395348838
Quenton Jackson,24,7,3.4285714285714284
R.J. Hampton,153,21,7.285714285714286
RJ Barrett,694,36,19.27777777777778
Raul Neto,76,23,3.3043478260869565
Reggie Bullock,369,42,8.785714285714286
Reggie Jackson,222,30,7.4
Richaun Holmes,54,20,2.7
Ricky Rubio,160,31,5.161290322580645
Robert Covington,171,25,6.84
Robert Williams III,221,28,7.892857142857143
Robin Lopez,20,12,1.6666666666666667
Rodney McGruder,144,19,7.578947368421052
Romeo Langford,147,19,7.7368421052631575
Ron Harper Jr.,4,5,0.8
Royce O'Neale,341,41,8.317073170731707
Rudy Gay,179,31,5.774193548387097
Rudy Gobert,505,37,13.64864864864865
Rui Hachimura,407,39,10.435897435897436
Russell Westbrook,617,37,16.675675675675677
Ryan Arcidiacono,23,11,2.090909090909091
Ryan Rollins,2,1,2.0
Saben Lee,111,21,5.285714285714286
Saddiq Bey,545,40,13.625
Sam Hauser,238,42,5.666666666666667
Sam Merrill,2,3,0.6666666666666666
Sandro Mamukelashvili,186,25,7.44
Santi Aldama,380,44,8.636363636363637
Scottie Barnes,677,42,16.11904761904762
Scotty Pippen Jr.,7,3,2.3333333333333335
Serge Ibaka,4,1,4.0
Seth Curry,350,36,9.722222222222221
Shaedon Sharpe,485,44,11.022727272727273
Shai Gilgeous-Alexander,1095,34,32.205882352941174
Shake Milton,255,42,6.071428571428571
Shaquille Harrison,21,3,7.0
Simone Fontecchio,201,28,7.178571428571429
Skylar Mays,51,3,17.0
Spencer Dinwiddie,777,42,18.5
Stanley Johnson,119,21,5.666666666666667
Stanley Umude,2,1,2.0
Stephen Curry,818,28,29.214285714285715
Sterling Brown,0,4,0.0
Steven Adams,105,10,10.5
Svi Mykhailiuk,160,19,8.421052631578947
T.J. McConnell,468,41,11.414634146341463
T.J. Warren,199,30,6.633333333333334
Taj Gibson,88,26,3.3846153846153846
Talen Horton-Tucker,484,33,14.666666666666666
Tari Eason,433,44,9.840909090909092
Taurean Prince,318,34,9.352941176470589
Terance Mann,403,41,9.829268292682928
Terence Davis,228,35,6.514285714285714
Terrence Ross,228,27,8.444444444444445
Terry Rozier,795,36,22.083333333333332
Terry Taylor,44,11,4.0
Thaddeus Young,76,22,3.4545454545454546
Thanasis Antetokounmpo,18,18,1.0
Theo Maledon,62,7,8.857142857142858
Theo Pinson,48,22,2.1818181818181817
Thomas Bryant,319,36,8.86111111111111
Tim Hardaway Jr.,524,36,14.555555555555555
Tobias Harris,538,41,13.121951219512194
Tony Bradley,7,3,2.3333333333333335
Torrey Craig,269,42,6.404761904761905
Trae Young,1003,40,25.075
Tre Jones,371,30,12.366666666666667
Tre Mann,222,34,6.529411764705882
Trendon Watford,265,33,8.030303030303031
Trent Forrest,6,6,1.0
Trevelin Queen,21,5,4.2
Trevor Hudgins,6,4,1.5
Trevor Keels,3,2,1.5
Trey Lyles,368,44,8.363636363636363
Trey Murphy III,651,44,14.795454545454545
Troy Brown Jr.,306,40,7.65
Ty Jerome,158,24,6.583333333333333
TyTy Washington Jr.,101,20,5.05
Tyler Herro,698,36,19.38888888888889
Tyrese Haliburton,430,21,20.476190476190474
Tyrese Martin,0,3,0.0
Tyrese Maxey,866,44,19.681818181818183
Tyus Jones,458,44,10.409090909090908
Udoka Azubuike,67,18,3.7222222222222223
Udonis Haslem,0,1,0.0
Usman Garuba,110,39,2.8205128205128207
Vernon Carey Jr.,6,7,0.8571428571428571
Victor Oladipo,297,29,10.241379310344827
Vince Williams Jr.,3,6,0.5
Vit Krejci,10,11,0.9090909090909091
Vlatko Cancar,164,33,4.96969696969697
Walker Kessler,432,38,11.368421052631579
Wendell Carter Jr.,580,38,15.263157894736842
Wendell Moore Jr.,8,11,0.7272727272727273
Wenyen Gabriel,208,38,5.473684210526316
Wesley Matthews,91,25,3.64
Will Barton,104,22,4.7272727272727275
Willy Hernangomez,147,20,7.35
Xavier Moon,5,3,1.6666666666666667
Xavier Sneed,15,3,5.0
Xavier Tillman,348,41,8.487804878048781
Yuta Watanabe,129,33,3.909090909090909
Zach Collins,487,37,13.162162162162161
Zach LaVine,1169,44,26.568181818181817
Zeke Nnaji,152,25,6.08
Ziaire Williams,140,26,5.384615384615385
Zion Williamson,26,1,26.0
